document_identifier,document_title,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_language,document_pdf,document_doc,document_corrigenda_pdf,document_corrigenda_doc,document_subject_matter,document_directory_code,document_adopts,document_procedure,document_ep_number,document_URI
TA-10-2024-0006,Objection to an implementing act: Maximum residue levels for carbendazim and thiophanate‐methyl,EP text adopted,10,2024-09-18,P10_TA(2024)0006,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0006_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PHYT; http://publications.europa.eu/resource/authority/subject-matter/SANT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/035020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/1530,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0020,https://data.europarl.europa.eu/eli/dl/proc/2024-2758,PE763.090,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0006
TA-10-2024-0005,Numerical strength of interparliamentary delegations,EP text adopted,10,2024-09-18,P10_TA(2024)0005,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0005_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/INST,http://publications.europa.eu/resource/authority/dir-eu-legal-act/014020,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0019,https://data.europarl.europa.eu/eli/dl/proc/2024-2814,PE762.605,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0005
TA-10-2024-0009,The severe situation of political prisoners in Belarus,EP text adopted,10,2024-09-19,P10_TA(2024)0009,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0009_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0026; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0053; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0055; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0051; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0052; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0054,https://data.europarl.europa.eu/eli/dl/proc/2024-2804,PE762.610,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0009
TA-10-2024-0029,"Situation in Azerbaijan, violation of human rights and international law and relations with Armenia",EP text adopted,10,2024-10-24,P10_TA(2024)0029,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0029_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/EXT; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18; http://publications.europa.eu/resource/authority/dir-eu-legal-act/11401040,https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0139; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0142; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0133; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0136; https://data.europarl.europa.eu/eli/dl/doc/B-10-2024-0141,https://data.europarl.europa.eu/eli/dl/proc/2024-2890,PE764.143,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0029
TA-10-2024-0032,Electronic value added tax exemption certificate,EP text adopted,10,2024-11-14,P10_TA(2024)0032,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0032_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/FISC; http://publications.europa.eu/resource/authority/subject-matter/TVA; http://publications.europa.eu/resource/authority/subject-matter/RAPL,http://publications.europa.eu/resource/authority/dir-eu-legal-act/093010,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0012,https://data.europarl.europa.eu/eli/dl/proc/2024-0152,PE763.197,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0032
TA-10-2024-0022,Implementation of the Single European Sky (recast),EP text adopted,10,2024-10-22,P10_TA(2024)0022,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0022_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0010,https://data.europarl.europa.eu/eli/dl/proc/2013-0186,PE765.057,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0022
TA-10-2024-0034,Amendment of the EIB's Statute,EP text adopted,10,2024-11-14,P10_TA(2024)0034,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0034_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0013,https://data.europarl.europa.eu/eli/dl/proc/2024-0803,PE765.132,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0034
TA-10-2024-0031,Deforestation Regulation: provisions relating to the date of application,EP text adopted,10,2024-11-14,P10_TA(2024)0031,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0031_en.docx,,,,,,https://data.europarl.europa.eu/eli/dl/proc/2024-0249,,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0031
TA-10-2024-0033,Faster and Safer Relief of Excess Withholding Taxes,EP text adopted,10,2024-11-14,P10_TA(2024)0033,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0033_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/FISC,http://publications.europa.eu/resource/authority/dir-eu-legal-act/092010,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0011,https://data.europarl.europa.eu/eli/dl/proc/2023-0187,PE765.063,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0033
TA-10-2024-0011,EU/USA Agreement on launch of Galileo satellites from U.S. territory,EP text adopted,10,2024-09-19,P10_TA(2024)0011,English,,https://data.europarl.europa.eu/distribution/doc/TA-10-2024-0011_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/TELE; http://publications.europa.eu/resource/authority/subject-matter/ESPA; http://publications.europa.eu/resource/authority/subject-matter/EXT,http://publications.europa.eu/resource/authority/dir-eu-legal-act/114040; http://publications.europa.eu/resource/authority/dir-eu-legal-act/0420; http://publications.europa.eu/resource/authority/dir-eu-legal-act/1140,https://data.europarl.europa.eu/eli/dl/doc/A-10-2024-0001,https://data.europarl.europa.eu/eli/dl/proc/2024-0046,PE763.099,https://data.europarl.europa.eu/eli/dl/doc/TA-10-2024-0011
