document_identifier,document_title,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_language,document_pdf,document_doc,document_corrigenda_pdf,document_corrigenda_doc,document_subject_matter,document_directory_code,document_adopts,document_procedure,document_ep_number,document_URI
TA-9-2023-0091,Strengthening the application of the principle of equal pay for equal work or work of equal value between men and women,EP text adopted,9,2023-03-30,P9_TA(2023)0091,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0091/TA-9-2023-0091-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0091/TA-9-2023-0091-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/SOCI; http://publications.europa.eu/resource/authority/subject-matter/DISC; http://publications.europa.eu/resource/authority/subject-matter/EMPL,http://publications.europa.eu/resource/authority/dir-eu-legal-act/05202020; http://publications.europa.eu/resource/authority/dir-eu-legal-act/05200520,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0056,https://data.europarl.europa.eu/eli/dl/proc/2021-0050,PE693.798,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0091
TA-9-2023-0046,Situation of the former President of Georgia Mikheil Saakashvili,EP text adopted,9,2023-02-15,P9_TA(2023)0046,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0046/TA-9-2023-0046-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0046/TA-9-2023-0046-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0109; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0106; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0112; https://data.europarl.europa.eu/eli/dl/doc/RC-9-2023-0106; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0117; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0114,https://data.europarl.europa.eu/eli/dl/proc/2023-2543,PE741.435,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0046
TA-9-2023-0037,Electoral rights of mobile Union citizens in European Parliament elections,EP text adopted,9,2023-02-14,P9_TA(2023)0037,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0037/TA-9-2023-0037-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0037/TA-9-2023-0037-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/CIT; http://publications.europa.eu/resource/authority/subject-matter/PRIN,http://publications.europa.eu/resource/authority/dir-eu-legal-act/2020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0297,https://data.europarl.europa.eu/eli/dl/proc/2021-0372,PE704.775,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0037
TA-9-2023-0003,Shipments of waste,EP text adopted,9,2023-01-17,P9_TA(2023)0003,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0003/TA-9-2023-0003-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0003/TA-9-2023-0003-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/DECH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/151030,https://data.europarl.europa.eu/eli/dl/doc/A-9-2022-0290,https://data.europarl.europa.eu/eli/dl/proc/2021-0367,PE719.861,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0003
TA-9-2023-0081,EU-Armenia relations,EP text adopted,9,2023-03-15,P9_TA(2023)0081,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0081/TA-9-2023-0081-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0081/TA-9-2023-0081-FNL_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0036,https://data.europarl.europa.eu/eli/dl/proc/2021-2230,PE736.479,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0081
TA-9-2023-0030,"Amending the decision of 10 March 2022 on setting up a special committee on foreign interference in all democratic processes in the European Union, including disinformation (INGE 2), and adjusting its title and responsibilities",EP text adopted,9,2023-02-14,P9_TA(2023)0030,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0030/TA-9-2023-0030-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0030/TA-9-2023-0030-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/INST,http://publications.europa.eu/resource/authority/dir-eu-legal-act/014020,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0119,https://data.europarl.europa.eu/eli/dl/proc/2023-2566,PE741.448,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0030
TA-9-2023-0084,"Tunisia: Recent attacks against freedom of expression and association and trade unions, in particular the case of journalist Noureddine Boutar",EP text adopted,9,2023-03-16,P9_TA(2023)0084,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0084/TA-9-2023-0084-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0084/TA-9-2023-0084-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/PESC; http://publications.europa.eu/resource/authority/subject-matter/DDLH,http://publications.europa.eu/resource/authority/dir-eu-legal-act/18,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0183; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0182; https://data.europarl.europa.eu/eli/dl/doc/RC-9-2023-0171; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0173; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0185; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0179; https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0171,https://data.europarl.europa.eu/eli/dl/proc/2023-2588,PE744.087,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0084
TA-9-2023-0063,Genetically modified oilseed rape MON 94100 (MON-941ØØ-2),EP text adopted,9,2023-03-14,P9_TA(2023)0063,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0063/TA-9-2023-0063-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0063/TA-9-2023-0063-FNL_en.docx,,,,,https://data.europarl.europa.eu/eli/dl/doc/B-9-2023-0162,https://data.europarl.europa.eu/eli/dl/proc/2023-2537,PE740.891,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0063
TA-9-2023-0035,"EU/Guyana Voluntary Partnership Agreement: forest law enforcement, governance and trade in timber products to the EU (Resolution)",EP text adopted,9,2023-02-14,P9_TA(2023)0035,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0035/TA-9-2023-0035-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0035/TA-9-2023-0035-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/EXT; http://publications.europa.eu/resource/authority/subject-matter/SILV; http://publications.europa.eu/resource/authority/subject-matter/PCOM,http://publications.europa.eu/resource/authority/dir-eu-legal-act/114050; http://publications.europa.eu/resource/authority/dir-eu-legal-act/033060; http://publications.europa.eu/resource/authority/dir-eu-legal-act/11603020,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0018,https://data.europarl.europa.eu/eli/dl/proc/2022-0142M,PE736.518,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0035
TA-9-2023-0057,European Central Bank – annual report 2022,EP text adopted,9,2023-02-16,P9_TA(2023)0057,English,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0057/TA-9-2023-0057-FNL_en.pdf,https://data.europarl.europa.eu/distribution/reds_iPlTa_Itm/TA-9-2023-0057/TA-9-2023-0057-FNL_en.docx,,,http://publications.europa.eu/resource/authority/subject-matter/UEM; http://publications.europa.eu/resource/authority/subject-matter/BCE,http://publications.europa.eu/resource/authority/dir-eu-legal-act/103030; http://publications.europa.eu/resource/authority/dir-eu-legal-act/014075,https://data.europarl.europa.eu/eli/dl/doc/A-9-2023-0022,https://data.europarl.europa.eu/eli/dl/proc/2022-2037,PE735.816,https://data.europarl.europa.eu/eli/dl/doc/TA-9-2023-0057
